authority,mint,lon,lat,issues
constantine_i,londinium,-0.088949,51.513335,516
constantine_i,cyzicus,27.892255,40.381323,127
constantine_i,thessalonica,22.95,40.633333,225
constantine_i,ostia,12.287656,41.754855,44
constantine_i,nicomedia,29.916667,40.766667,157
constantine_i,constantinople,28.976018,41.01224,158
constantine_i,rome,12.5,41.9,305
constantine_ii,lugdunum,4.819444,45.759722,31
constantine_ii,treveri,6.641389,49.756667,119
constantine_ii,arelate,4.630799,43.677616,58
constantine_ii,siscia,16.371388,45.483168,107
constantine_ii,aquileia,13.364601,45.768259,36
constantine_ii,rome,12.5,41.9,99
constans,lugdunum,4.819444,45.759722,78
constans,treveri,6.641389,49.756667,130
constans,arelate,4.630799,43.677616,72
constans,siscia,16.371388,45.483168,158
constans,aquileia,13.364601,45.768259,90
constans,rome,12.5,41.9,138
constantius_ii,lugdunum,4.819444,45.759722,27
constantius_ii,treveri,6.641389,49.756667,34
constantius_ii,arelate,4.630799,43.677616,79
constantius_ii,siscia,16.371388,45.483168,149
constantius_ii,antiocheia_syria,36.15,36.2,200
constantius_ii,sirmium,19.610106,44.966447,91
constantius_ii,heraclea_thracica,27.95528,40.97003,100
constantius_ii,alexandreia_egypt,29.909773,31.201435,89
constantius_ii,aquileia,13.364601,45.768259,64
constantius_ii,cyzicus,27.892255,40.381323,126
constantius_ii,mediolanum,9.18806,45.463746,2
constantius_ii,thessalonica,22.95,40.633333,218
constantius_ii,ambianum,2.293832,49.892624,4
constantius_ii,nicomedia,29.916667,40.766667,118
constantius_ii,constantinople,28.976018,41.01224,157
constantius_ii,rome,12.5,41.9,159
magnentius,lugdunum,4.819444,45.759722,72
magnentius,treveri,6.641389,49.756667,90
magnentius,arelate,4.630799,43.677616,75
magnentius,siscia,16.371388,45.483168,2
magnentius,aquileia,13.364601,45.768259,58
magnentius,ambianum,2.293832,49.892624,46
magnentius,rome,12.5,41.9,82
julian_the_apostate,lugdunum,4.819444,45.759722,38
julian_the_apostate,treveri,6.641389,49.756667,5
julian_the_apostate,arelate,4.630799,43.677616,47
julian_the_apostate,siscia,16.371388,45.483168,14
julian_the_apostate,antiocheia_syria,36.15,36.2,27
julian_the_apostate,sirmium,19.610106,44.966447,18
julian_the_apostate,heraclea_thracica,27.95528,40.97003,6
julian_the_apostate,alexandreia_egypt,29.909773,31.201435,3
julian_the_apostate,aquileia,13.364601,45.768259,4
julian_the_apostate,cyzicus,27.892255,40.381323,10
julian_the_apostate,thessalonica,22.95,40.633333,12
julian_the_apostate,nicomedia,29.916667,40.766667,12
julian_the_apostate,constantinople,28.976018,41.01224,12
julian_the_apostate,rome,12.5,41.9,24
jovianus,lugdunum,4.819444,45.759722,2
jovianus,arelate,4.630799,43.677616,9
jovianus,siscia,16.371388,45.483168,4
jovianus,antiocheia_syria,36.15,36.2,12
jovianus,sirmium,19.610106,44.966447,12
jovianus,heraclea_thracica,27.95528,40.97003,5
jovianus,alexandreia_egypt,29.909773,31.201435,1
jovianus,aquileia,13.364601,45.768259,2
jovianus,cyzicus,27.892255,40.381323,2
jovianus,thessalonica,22.95,40.633333,11
jovianus,nicomedia,29.916667,40.766667,4
jovianus,constantinople,28.976018,41.01224,12
jovianus,rome,12.5,41.9,22
procopius,constantinople,28.976018,41.01224,55
procopius,heraclea_thracica,27.95528,40.97003,13
procopius,cyzicus,27.892255,40.381323,17
procopius,nicomedia,29.916667,40.766667,12
valentinian_i,lugdunum,4.819444,45.759722,150
valentinian_i,treveri,6.641389,49.756667,208
valentinian_i,arelate,4.630799,43.677616,186
valentinian_i,siscia,16.371388,45.483168,204
valentinian_i,sirmium,19.610106,44.966447,26
valentinian_i,aquileia,13.364601,45.768259,164
valentinian_i,mediolanum,9.18806,45.463746,10
valentinian_i,thessalonica,22.95,40.633333,245
valentinian_i,rome,12.5,41.9,224
valens,antiocheia_syria,36.15,36.2,308
valens,heraclea_thracica,27.95528,40.97003,53
valens,alexandreia_egypt,29.909773,31.201435,50
valens,cyzicus,27.892255,40.381323,62
valens,nicomedia,29.916667,40.766667,120
valens,constantinople,28.976018,41.01224,254
gratian,treveri,6.641389,49.756667,155
gratian,arelate,4.630799,43.677616,50
gratian,rome,12.5,41.9,201
gratian,lugdunum,4.819444,45.759722,31
uncertain_value,treveri,6.641389,49.756667,2
magnus_maximus,lugdunum,4.819444,45.759722,23
magnus_maximus,treveri,6.641389,49.756667,33
magnus_maximus,arelate,4.630799,43.677616,24
magnus_maximus,aquileia,13.364601,45.768259,12
magnus_maximus,londinium,-0.088949,51.513335,5
magnus_maximus,mediolanum,9.18806,45.463746,7
magnus_maximus,rome,12.5,41.9,6
valentinian_ii,lugdunum,4.819444,45.759722,34
valentinian_ii,treveri,6.641389,49.756667,32
valentinian_ii,arelate,4.630799,43.677616,12
valentinian_ii,siscia,16.371388,45.483168,175
valentinian_ii,sirmium,19.610106,44.966447,8
valentinian_ii,aquileia,13.364601,45.768259,214
valentinian_ii,mediolanum,9.18806,45.463746,55
valentinian_ii,thessalonica,22.95,40.633333,139
valentinian_ii,rome,12.5,41.9,155
theodosius_i,lugdunum,4.819444,45.759722,1
theodosius_i,treveri,6.641389,49.756667,8
theodosius_i,arelate,4.630799,43.677616,4
theodosius_i,siscia,16.371388,45.483168,24
theodosius_i,antiocheia_syria,36.15,36.2,284
theodosius_i,sirmium,19.610106,44.966447,23
theodosius_i,heraclea_thracica,27.95528,40.97003,104
theodosius_i,alexandreia_egypt,29.909773,31.201435,91
theodosius_i,aquileia,13.364601,45.768259,6
theodosius_i,cyzicus,27.892255,40.381323,128
theodosius_i,mediolanum,9.18806,45.463746,16
theodosius_i,thessalonica,22.95,40.633333,39
theodosius_i,nicomedia,29.916667,40.766667,161
theodosius_i,constantinople,28.976018,41.01224,237
theodosius_i,rome,12.5,41.9,50
eugenius,lugdunum,4.819444,45.759722,3
eugenius,treveri,6.641389,49.756667,8
eugenius,arelate,4.630799,43.677616,3
eugenius,mediolanum,9.18806,45.463746,10
eugenius,rome,12.5,41.9,5
arcadius,antiocheia_syria,36.15,36.2,21
arcadius,sirmium,19.610106,44.966447,3
arcadius,heraclea_thracica,27.95528,40.97003,9
arcadius,alexandreia_egypt,29.909773,31.201435,16
arcadius,cyzicus,27.892255,40.381323,16
arcadius,thessalonica,22.95,40.633333,8
arcadius,nicomedia,29.916667,40.766667,15
arcadius,constantinople,28.976018,41.01224,74
constantine_iii,treveri,6.641389,49.756667,9
constantine_iii,arelate,4.630799,43.677616,14
constantine_iii,lugdunum,4.819444,45.759722,22
honorius,ravenna,12.196604,44.415718,53
honorius,lugdunum,4.819444,45.759722,5
honorius,treveri,6.641389,49.756667,4
honorius,arelate,4.630799,43.677616,9
honorius,siscia,16.371388,45.483168,2
honorius,aquileia,13.364601,45.768259,22
honorius,mediolanum,9.18806,45.463746,40
honorius,rome,12.5,41.9,40
maximus_barcelona,barcino,2.169911,41.387911,4
priscus_attalus,narbo,3.0042,43.1836,2
priscus_attalus,rome,12.5,41.9,15
jovinus,treveri,6.641389,49.756667,6
jovinus,arelate,4.630799,43.677616,7
jovinus,lugdunum,4.819444,45.759722,9
joannes,arelate,4.630799,43.677616,1
joannes,ravenna,12.196604,44.415718,7
joannes,rome,12.5,41.9,14
joannes,mediolanum,9.18806,45.463746,1
