mint,lon,lat
belaiskom,-2.45,42.0
belgrade,20.46513,44.80401
belikio,-0.1,41.25
benidorm,-0.13098,38.53816
bentian,-1.7,42.8
berlin,13.41053,52.52437
beroea_macedon,22.2,40.516667
beroea_syria,37.149317,36.202753
berytus,35.521306,33.899285
biannos,25.405,35.04349
bielefeld,8.516667,52.016667
bilbilis,-1.603219,41.38201
bingen,7.895,49.966944444444
birytis,26.411219,39.949894
bisaltae,23.25,41.25
bisanthe,27.508023,40.978415
bishapur,51.58111,29.73556
bithynium,31.6,40.733333
bizya,27.765289,41.572702
blaundus,29.210608,38.356771
boeae,23.066667,36.5
boeone,27.03,38.68
bolskan,-0.408948,42.140011
bonn,7.099814,50.733992
bora,-4.039839,37.662473
borneskon,-1.65,41.35
boston,-71.061667,42.357778
bostra,36.48369,32.517831
botrys,35.657598,34.251074
bottiaea,22.533333,40.983333
brandenburg_havel,12.556111111111,52.411666666667
braunschweig,10.521111111111,52.269166666667
2944981,6.7832,50.95954
bremen,8.8,53.083333
bria,29.7418785,38.300984
briula,28.649583,37.961027
brundisium,17.938956,40.63619
brutobriga,-5.800357,38.974054
bruttii,16.25,39.25
bruzus,30.172588,38.527568
bubon,29.415216666666666,36.974003333333336
budapest,19.03991,47.49801
bukhara,64.42861,39.77472
bulla_regia,8.750548,36.555605
bura,22.141,38.153
burg_kalsmunt,8.495556,50.549361
burg_riehl,6.974167,50.968333
burhanpur,76.233333333333,21.3
bursa,29.066667,40.183333
bursau,-1.53187,41.835173
buthrotum,20.016628,39.757066
butuntum,16.691435,41.108479
byblus,35.646846,34.119501
byllis,19.733353,40.550001
byzantium,28.976018,41.01224
cabeira,36.951027,40.609983
cabyle,26.478937,42.528151
cadi,29.411526,39.043048
cadyanda,29.2432,36.7318
caelia,16.86986,41.061016
caenicenses,5.2624512,43.4569065
caesaraugusta,-0.876,41.657
caesareia_ad_libanum,36.038558,34.534907
caesareia_cappadocia,35.483333,38.733333
caesareia_germanica,28.883333,40.166667
caesareia_panias,35.693736,33.247099
caesareia_samaria,34.900416,32.501832
cagliari,9.109522,39.214886
cairo,31.24967,30.06263
calacte,14.440957,38.024241
calagurris_julia,-1.965033,42.303705
calchedon,29.025789,40.983393
cales,14.132176,41.199929
callatis,28.58275,43.817152
callet,-5.626201,37.052305
callipolis,28.4536,37.032454
calymna,27.0081067,36.9783009
calynda,28.831094,36.739613
camarata,-1.298801,35.346511
camarina,14.447788,36.872287
came,27.925873,39.33536
camirus,27.921321,36.336266
campani,14.7,37.8
campano-tarentine,16.0675049,40.5472002
camulodunum,0.901298,51.889852
canatha,36.618201,32.75421
candanus,23.738349,35.330337
candyba,29.6664914,36.308362599999995
canusium,16.066004,41.2225
caphya,22.262624,37.766264
capitolias,35.858043,32.597779
cappadocia,35.4089355,39.0789081
capsa,23.670043,40.342357
capua,14.250357,41.086242
caralis,9.109522,39.214886
carallia,31.91116,36.678196
carbula,-5.019918,37.809644
carcine,33.290274,46.25451
cardia,26.75081,40.548232
carisa,-5.732101,36.877668
carmo,-5.642257,37.471001
carne,35.884375,34.938844
carnuntum,16.866667,48.116667
carrhae,39.028865,36.866351
carson_city,-119.753889,39.160833
carteia,-5.410359,36.183163
carthaea,24.330211,37.560259
carthage,10.312944,36.847009
carthago_nova,-0.991387,37.605678
caryanda,27.516289,37.154297
carystus,24.420381,38.016541
casae,31.951278,36.838503
cascantum,-1.679195,41.998968
cassandreia,23.327812,40.193696
cassope,20.687268,39.140534
castulo,-3.624424,38.037913
catana,15.088142,37.502959
caulonia,16.578485,38.445426
caunus,28.625838,36.828275
caura,-6.05183,37.285041
caystriani,27.75,38.25
cebren,26.563032,39.741803
celenderis,33.318106,36.142487
celle,10.0825,52.625555555556
celsa,-0.437853,41.374996
centuripae,14.740017,37.624073
cephaloedium,14.026402,38.038251
ceraitae,30.599358,37.510173
ceramus,27.961103,37.041038
cerasus,38.397931,40.919134
cercinitis,33.361389,45.203672
ceretapa,29.741952,37.550986
cerit,-6.137337,36.686622
ceryneia,22.143425,38.158659
cestrus,32.352377,36.228763
ceuta,-5.31979,35.88933
cezayir,3.0,28.0
chabacta,36.768,41.236
chaeroneia,22.845235,38.495945
chalcidian_league,23.342665,40.292595
chalcis,23.62194,38.457139
chalcis_sub_libano,36.241643,33.95773
chalketor,27.685712,37.349058
charax_spasinou,47.578031,30.894692
chemnitz,12.916666666667,50.833333333333
cherronesus,33.493302,44.611627
chersonesus_cariae,27.7397919,36.7757425
chersonesus_crete,25.388567,35.319165
chersonesus_thrace,26.5,40.33333
chios,26.136818,38.374769
choma,29.824,36.6315
christianopolis,21.666667,37.233333
christophstal,8.38703,48.47387
cibyra,29.4963,37.1593
cibyra_minor,31.6614125,36.6595255
cidramus,29.129469,37.354017
cidyessus,30.185775,38.747507
cierium,22.075455,39.361088
cimolos,24.57346,36.793183
cirrha,22.450621,38.428937
cisthene,26.813175,39.393183
citanaura,30.356906249999998,36.639758
citium,33.629471,34.929597
cius,29.15639,40.432469
clannudda,28.58,38.31
claudiopolis_bithynium,31.630039,40.753484
claudiopolis_cilicia,33.447321,36.637504
clausthal,10.333056,51.803611
clazomenae,26.785278,38.373889
cleitor,22.123335,37.893544
cleonae,22.775833,37.824444
clunia,-3.36515,41.783929
cnidus,27.371637,36.690171
cnossus,25.163156,35.297961
coburg,10.966667,50.266667
cochem,7.1666666666667,50.146944444444
codrula,30.351609,37.436975
coela,26.367552,40.207121
colbasa,30.404975,37.424422
colchis,42.5,42.5
colone_messenia,21.95,37.1
colone_troas,26.166435,39.677021
colonia_claudia_ara_agrippinensium,6.966667,50.95
colonia_iulia_pia_paterna,10.73,36.65
colonia_patricia,-4.779171,37.884683
colophon,27.198,37.9935
colossae,29.259161,37.790552
colybrassus,31.9643784,36.7347571
comama,30.3371,37.3213
comana,36.610679,40.377306
commagene,36.74,37.25
compulteria,14.327125,41.251934
conana,30.509682,37.952804
consentia,16.253611,39.295395
constantinople,28.976018,41.01224
copae,23.163285,38.501525
copia,16.4502239,39.7506872
coracesium,31.988335,36.546394
corcyra,19.924457,39.60444
corcyra_corcyra,19.924457,39.60444
corcyra_nigra,17.116667,42.95
cordoba,-4.77275,37.89155
corduba,-4.779171,37.884683
coressia,24.307938,37.665886
corinth,22.933333,37.933333
corone,21.962963,36.792813
coroneia,22.957112,38.391204
coronta,21.159936,38.588086
coropissus,33.4685183,36.8278366
corycus,34.148625,36.467249
corydalla,30.273281,36.376674
cos,27.2904682,36.8958903
cosa,11.286503,42.410919
cossura,11.95,36.833333
cotiaeum,29.985689,39.419629
cottbus,14.334166666667,51.760555555556
cranii,20.516369,38.168492
crannon,22.314142,39.497665
cremna,30.6911,37.500139
crete,24.91,35.21
creteia,32.195317,40.798795
cretopolis,30.3168035,37.361242
